title,link,description,id
Student Success Colouring Book,https://successportal.conestogac.on.ca/students/docs/detail/310?filename=Student-Success-Colouring-Book_DIGITAL.pdf,Colouring book,0
"Creative Industries Resume, Chronological Style",https://successportal.conestogac.on.ca/students/docs/detail/309?filename=Graphic-Design-Resume.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new grad seeking employment in the creative industries is an example of how to present skills and experience with confidence and clarity.,1
Student Success Services,https://successportal.conestogac.on.ca/students/infoPages/detail/34/student-success-services,Overview of all Student Success Services,2
Discontinuance and Reapplying,https://successportal.conestogac.on.ca/students/infoPages/detail/53/discontinuance-and-reapplying,definition of discontinuance and reapplying,3
Who is the Placement Officer/Contact for my program?,https://successportal.conestogac.on.ca/students/infoPages/detail/24/who-is-placement-officer-conta,Alphabetical list of programs with assigned Placement Officer,4
"Health & Life Sciences Resume, Chronological Style, Sample #1",https://successportal.conestogac.on.ca/students/docs/detail/308?filename=PSW-Resume.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the health and life sciences sector is an example of how to present skills and experience with confidence and clarity.,5
WIL Nurse Support Program Contacts,https://successportal.conestogac.on.ca/students/infoPages/detail/27/wil-nurse-support-program-cont,WIL Nurse Support Program Contacts,6
Part-Time Job Resume Sample,https://successportal.conestogac.on.ca/students/docs/detail/67?filename=Part-Time-Resume-Sample-Aug23.pdf,"A sample resume appropriate for a student seeking part-time employment. For more resume examples, visit our ‘Resume Samples’ topic area.",7
Chronological Resume Sample,https://successportal.conestogac.on.ca/students/docs/detail/70?filename=Chronological-Sample-Resume-July23-%281%29.pdf,"A sample resume using the chronological resume format. For more resume examples, visit our ‘Resume Samples’ topic area.",8
How to create a resume on VMock (overview),https://successportal.conestogac.on.ca/students/videos/detail/35/how-to-create-resume-on-vmock-,Learn how to use templates found on VMock to create a resume.,9
Post-Graduate Chronological Sample Resume,https://successportal.conestogac.on.ca/students/docs/detail/154?filename=Post-Grad-Chronological-Sample-Resume-July23.pdf,"Sample of a chronological resume for an individual who completed a post-graduate certificate at Conestoga. For more resume examples, visit our ‘Resume Samples’ topic area.",10
Understanding Transferrable Skills,https://successportal.conestogac.on.ca/students/docs/detail/88?filename=Understanding-Transferrable-Skills-Tip-Sheet.pdf,Understand more about how non-industry specific transferrable skills that are learned and developed in one situation can then be used and applied in another situation.,11
Writing Accomplishments Statements,https://successportal.conestogac.on.ca/students/docs/detail/15?filename=Accomplishment-Statements.pdf,Tips for how to write accomplishment statements to include on your resume.,12
Computer Science and I/T Competency Style (functional) Resume Sample,https://successportal.conestogac.on.ca/students/docs/detail/69?filename=IT-Competency-Resume-July23.pdf,"A sample resume for those seeking employment in the computer science or IT sector using a competency based (functional) format. For more resume examples, visit our ‘Resume Samples’ topic area.",13
Action Verbs to Use in a Resume,https://successportal.conestogac.on.ca/students/docs/detail/6?filename=Action-Verbs.pdf,The best resumes include lots of action verbs to describe your skills and work experience. This resource will help you identify action verbs to use in your resume.,14
How to log in to VMock resume and interview practice tool,https://successportal.conestogac.on.ca/students/videos/detail/33/how-to-log-in-to-vmock-resume-,Learn how to log into VMock - a resume and interview practice tool for full-time students.,15
How to Upload a Resume to VMock (overview),https://successportal.conestogac.on.ca/students/videos/detail/34/how-to-upload-resume-to-vmock-,Step by step instructions for how to upload your resume to VMock.,16
Creating a new resume using VMock (detailed instructions),https://successportal.conestogac.on.ca/students/videos/detail/36/creating-new-resume-using-vmoc,This video provides detailed instructions on how to make a new resume using VMock.,17
Resume Profile vs. Objective Statements,https://successportal.conestogac.on.ca/students/docs/detail/9?filename=Resume-Profile-Statements-and-Objectives.pdf,This resource explains how to develop a profile statement for your resume.,18
Highlights of Qualifications,https://successportal.conestogac.on.ca/students/docs/detail/8?filename=Highlights-of-Qualifications.pdf,This resources provides examples of qualifications to include in a resume.,19
Transferrable Skills Checklist,https://successportal.conestogac.on.ca/students/docs/detail/89?filename=Transferrable-Skills-Checklist.pdf,Transferrable Skills Checklist,20
Understanding the Job Posting,https://successportal.conestogac.on.ca/students/docs/detail/43?filename=Understanding-the-Job-Posting.pdf,How to carefully review a job posting to assess the responsibilities and qualifications associated with the position to assess your fit and customize your application.,21
Understanding Applicant Tracking Systems,https://successportal.conestogac.on.ca/students/docs/detail/16?filename=Understanding-Applicant-Tracking-Systems.pdf,Applicant Tracking Systems (ATS) are software programs used by employers that scan and store resumes and cover letters. This resource will help you understand how to format your resume so that it will work well with these systems.,22
Resume Checklist,https://successportal.conestogac.on.ca/students/docs/detail/11?filename=Resume-Checklist.pdf,Guide for reviewing your resume.,23
References,https://successportal.conestogac.on.ca/students/docs/detail/19?filename=Professional-References.pdf,Tips for developing references to support your job search.,24
Portfolio Development,https://successportal.conestogac.on.ca/students/docs/detail/77?filename=Portfolio.pdf,"A professional portfolio can be a powerful job search, networking and interview tool. This resources explores the different types of portfolios and the benefits of using a portfolio to support job search.",25
Functional Resume Worksheet,https://successportal.conestogac.on.ca/students/docs/detail/13?filename=Functional-Resume-Worksheet.pdf,A tool to help you develop your resume using a functional format.,26
Creating a CV - Curriculum Vitae,https://successportal.conestogac.on.ca/students/docs/detail/14?filename=Curriculum-Vitae.pdf,A guide for developing a Curriculum Vitae.,27
Components of a Resume,https://successportal.conestogac.on.ca/students/docs/detail/5?filename=Components-of-a-Resume.pdf,"It is important to determine which style of resume will best highlight your skills, qualifications and experience to the employer. This resource will help you understand the components of a resume and which style of resume is right for you.",28
Chronological Resume Worksheet,https://successportal.conestogac.on.ca/students/docs/detail/12?filename=Chronological-Resume-Worksheet.pdf,A tool to help you develop your resume using a chronological format.,29
How can I get help with my resume?,https://successportal.conestogac.on.ca/students/faqs/detail/33/how-can-i-get-help-with-my-res,"Current students are encouraged to use the VMock platform to create a resume or receive feedback on a resume. Access VMock here and use your Conestoga email and password to gain access Career Services also offers workshops, resume resources, and other resume support. Please visit the Career Services page for more information.",30
"Engineering & Technology Resume, Chronological Style",https://successportal.conestogac.on.ca/students/docs/detail/305?filename=Chronological-Sample-Resume.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new grad seeking employment in engineering or technology is an example of how to present skills and experience with confidence and clarity.,31
"Computer Science & I/T Resume, Competency-Based (Functional) Style",https://successportal.conestogac.on.ca/students/docs/detail/307?filename=IT-Competency-Resume.pdf,A strong resume is key to landing interviews. This competency-based (functional) resume for a student or new grad seeking roles in computer science or I/T is an example of how to present skills and experience with confidence and clarity.,32
"Community Services Resume, Chronological Style",https://successportal.conestogac.on.ca/students/docs/detail/304?filename=ECE-Resume-Sample.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment within community services is an example of how to present skills and experience with confidence and clarity.,33
"Health & Life Sciences Resume, Chronological Style, Sample #2",https://successportal.conestogac.on.ca/students/docs/detail/303?filename=Nursing-Resume.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the health and life sciences field is an example of how to present skills and experience with confidence and clarity.,34
"Business Resume, Skills Based (Functional) Style",https://successportal.conestogac.on.ca/students/docs/detail/302?filename=Office-Admin-Functional-Resume.pdf,A strong resume is key to landing interviews. This skills-based (functional) resume for a student or new grad seeking employment in the business sector is an example of how to present skills and experience with confidence and clarity.,35
"Business Resume, Chronological Style",https://successportal.conestogac.on.ca/students/docs/detail/301?filename=Post-Grad-Chronological.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the field of business is an example of how to present skills and experience with confidence and clarity.,36
"Trades & Apprenticeship Resume, Chronological Style, Sample #2",https://successportal.conestogac.on.ca/students/docs/detail/306?filename=Electrical-Technician-Resume-Sample.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the trades is an example of how to present skills and experience with confidence and clarity.,37
"Hospitality & Culinary Arts Resume, Chronological Style, Part Time",https://successportal.conestogac.on.ca/students/docs/detail/300?filename=Part-Time-Resume.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new grad seeking employment in the hospitality or culinary field is an example of how to present skills and experience with confidence and clarity.,38
"Trades & Apprenticeship Resume, Chronological Style, Sample #1",https://successportal.conestogac.on.ca/students/docs/detail/299?filename=Automotive-Service-Technician-Resume.pdf,A strong resume is key to landing interviews. This chronological style sample resume for a student or new graduate seeking employment in the trades is an example of how to present skills and experience with confidence and clarity.,39
Academic Integrity FAQs for Students,https://successportal.conestogac.on.ca/students/docs/detail/286?filename=Academic-Integrity-FAQs-for-Students.pdf,Get answers to your questions related to Academic Integrity,40
Assistive Software,https://successportal.conestogac.on.ca/students/infoPages/detail/20/assistive-software,We have the following software available at all Conestoga campuses within the designated assistive technology space(s).,41
Tracking Your Job Search and Networking,https://successportal.conestogac.on.ca/students/docs/detail/298?filename=Job-Search-and-Networking-Tracking-.pdf,"Staying organized, focused and motivated as you prepare for and conduct your job search is an essential part of success. Setting goals, tracking your applications and networking activities will help!",42
Grad Launch Resource Guide,https://successportal.conestogac.on.ca/students/docs/detail/297?filename=SE-_-Alumni-Digital-Resource-Guide.pdf,"Congratulations, soon-to-be graduate! As you prepare for life after graduation, this guide is designed to help you wrap up your time as a student and make the most of the resources available to you as a new graduate.",43
Understanding Apprenticeships,https://successportal.conestogac.on.ca/students/docs/detail/296?filename=Understanding-Apprenticeships.pdf,"An apprenticeship can lead to a very rewarding career. Learn more about essential steps to help you explore trades, assess your fit, and understand the certification process so you can make informed decisions and successfully build your career in the trades!",44
Apprenticeship Pathway,https://successportal.conestogac.on.ca/students/docs/detail/295?filename=Apprenticeship-Pathway.pdf,An apprenticeship involves several key steps. Review this tip sheet to understand the process an apprentice will typically go through that leads to certification as a Journey Person.,45
Fraudulent Jobs and Scam Awareness,https://successportal.conestogac.on.ca/students/docs/detail/38?filename=Fraudulent-Employers-and-Common-Job-Search-Scams.pdf,"When searching for a job, it is important to know the signs of a fraudulent job posting or employment scam. Learn about safe job search practices, how you can protect yourself from employment fraud, and where to go more for information.",46
Working-on-Campus,https://successportal.conestogac.on.ca/students/docs/detail/175?filename=Working-On-Campus.pdf,Conestoga College recruits numerous students for on-campus/work study opportunities each term. Various departments from Conestoga College will post their available student positions on the MyCareer job board.,47
Job Search Websites,https://successportal.conestogac.on.ca/students/docs/detail/40?filename=Helpful-Job-Search-Websites.pdf,Helpful job search websites for students and new graduates seeking employment.,48
Cold Calling,https://successportal.conestogac.on.ca/students/docs/detail/32?filename=Cold-Calling.pdf,Cold calling is contacting an employer that you have not been in touch with before. It is one of the most effective ways of tapping into the hidden job market (jobs that are not advertised). Learn how to use this tool to support your job search.,49
Working Part-Time When You Are A Student,https://successportal.conestogac.on.ca/students/docs/detail/39?filename=Working-Part-Time-as-a-Student.pdf,"When you are looking for part-time work it is important to find something that will allow you to prioritize your studies. This resource discusses typical part-time student jobs, jobs on campus and common methods for searching for part-time work.",50
Disclosure and Accommodations in the Workplace,https://successportal.conestogac.on.ca/students/docs/detail/45?filename=Disclosure-and-Accommodations-in-the-Workplace.pdf,"This resource examines the timing, advantages, disadvantages and things to consider when considering disclosure and accommodations requests during the recruitment process.",51
