Title,Link,Description
Student Success Colouring Book,https://successportal.conestogac.on.ca/students/docs/detail/310?filename=Student-Success-Colouring-Book_DIGITAL.pdf,Colouring book
"Creative Industries Resume, Chronological Style",https://successportal.conestogac.on.ca/students/docs/detail/309?filename=Graphic-Design-Resume.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new grad seeking employment in the creative industries is an example of how to present skills and experience with confidence and clarity.
Student Success Services,https://successportal.conestogac.on.ca/students/infoPages/detail/34/student-success-services,Overview of all Student Success Services
Discontinuance and Reapplying,https://successportal.conestogac.on.ca/students/infoPages/detail/53/discontinuance-and-reapplying,definition of discontinuance and reapplying
Who is the Placement Officer/Contact for my program?,https://successportal.conestogac.on.ca/students/infoPages/detail/24/who-is-placement-officer-conta,Alphabetical list of programs with assigned Placement Officer
"Health & Life Sciences Resume, Chronological Style, Sample #1",https://successportal.conestogac.on.ca/students/docs/detail/308?filename=PSW-Resume.pdf,A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the health and life sciences sector is an example of how to present skills and experience with confidence and clarity.
WIL Nurse Support Program Contacts,https://successportal.conestogac.on.ca/students/infoPages/detail/27/wil-nurse-support-program-cont,WIL Nurse Support Program Contacts
Part-Time Job Resume Sample,https://successportal.conestogac.on.ca/students/docs/detail/67?filename=Part-Time-Resume-Sample-Aug23.pdf,"A sample resume appropriate for a student seeking part-time employment. For more resume examples, visit our ‘Resume Samples’ topic area."
Chronological Resume Sample,https://successportal.conestogac.on.ca/students/docs/detail/70?filename=Chronological-Sample-Resume-July23-%281%29.pdf,"A sample resume using the chronological resume format. For more resume examples, visit our ‘Resume Samples’ topic area."
How to create a resume on VMock (overview),https://successportal.conestogac.on.ca/students/videos/detail/35/how-to-create-resume-on-vmock-,Learn how to use templates found on VMock to create a resume.
Post-Graduate Chronological Sample Resume,https://successportal.conestogac.on.ca/students/docs/detail/154?filename=Post-Grad-Chronological-Sample-Resume-July23.pdf,"Sample of a chronological resume for an individual who completed a post-graduate certificate at Conestoga. For more resume examples, visit our ‘Resume Samples’ topic area."
Understanding Transferrable Skills,https://successportal.conestogac.on.ca/students/docs/detail/88?filename=Understanding-Transferrable-Skills-Tip-Sheet.pdf,Understand more about how non-industry specific transferrable skills that are learned and developed in one situation can then be used and applied in another situation.
Writing Accomplishments Statements,https://successportal.conestogac.on.ca/students/docs/detail/15?filename=Accomplishment-Statements.pdf,Tips for how to write accomplishment statements to include on your resume.
Computer Science and I/T Competency Style (functional) Resume Sample,https://successportal.conestogac.on.ca/students/docs/detail/69?filename=IT-Competency-Resume-July23.pdf,"A sample resume for those seeking employment in the computer science or IT sector using a competency based (functional) format. For more resume examples, visit our ‘Resume Samples’ topic area."
Action Verbs to Use in a Resume,https://successportal.conestogac.on.ca/students/docs/detail/6?filename=Action-Verbs.pdf,The best resumes include lots of action verbs to describe your skills and work experience. This resource will help you identify action verbs to use in your resume.
How to log in to VMock resume and interview practice tool,https://successportal.conestogac.on.ca/students/videos/detail/33/how-to-log-in-to-vmock-resume-,Learn how to log into VMock - a resume and interview practice tool for full-time students.
How to Upload a Resume to VMock (overview),https://successportal.conestogac.on.ca/students/videos/detail/34/how-to-upload-resume-to-vmock-,Step by step instructions for how to upload your resume to VMock.
Creating a new resume using VMock (detailed instructions),https://successportal.conestogac.on.ca/students/videos/detail/36/creating-new-resume-using-vmoc,This video provides detailed instructions on how to make a new resume using VMock.
Resume Profile vs. Objective Statements,https://successportal.conestogac.on.ca/students/docs/detail/9?filename=Resume-Profile-Statements-and-Objectives.pdf,This resource explains how to develop a profile statement for your resume.
Highlights of Qualifications,https://successportal.conestogac.on.ca/students/docs/detail/8?filename=Highlights-of-Qualifications.pdf,This resources provides examples of qualifications to include in a resume.
Transferrable Skills Checklist,https://successportal.conestogac.on.ca/students/docs/detail/89?filename=Transferrable-Skills-Checklist.pdf,Transferrable Skills Checklist
Understanding the Job Posting,https://successportal.conestogac.on.ca/students/docs/detail/43?filename=Understanding-the-Job-Posting.pdf,How to carefully review a job posting to assess the responsibilities and qualifications associated with the position to assess your fit and customize your application.
Understanding Applicant Tracking Systems,https://successportal.conestogac.on.ca/students/docs/detail/16?filename=Understanding-Applicant-Tracking-Systems.pdf,Applicant Tracking Systems (ATS) are software programs used by employers that scan and store resumes and cover letters. This resource will help you understand how to format your resume so that it will work well with these systems.
Resume Checklist,https://successportal.conestogac.on.ca/students/docs/detail/11?filename=Resume-Checklist.pdf,Guide for reviewing your resume.
